"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"751","Welcome to the experiment! Press any key to begin"," ","html-keyboard-response","0","754","0.0-0.0","","","","","",""
"662","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>r</strong> for red, <strong>g</strong> for green, 
            <strong>y</strong> for yellow and <strong>b</strong> for blue.</p>
            <p>Press any key to begin.</p>
            "," ","html-keyboard-response","1","1417","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","5438","0.0-2.0-0.0","fixation","","","","",""
"863","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","3","6301","0.0-2.0-1.0","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","8062","0.0-2.0-0.1","fixation","","","","",""
"2270","
                    <p style=""color:yellow"">
                    blue</p>","y","html-keyboard-response","5","10333","0.0-2.0-1.1","response","yellow","blue","incongruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","11840","0.0-2.0-0.2","fixation","","","","",""
"925","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","7","12766","0.0-2.0-1.2","response","blue","blue","congruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","13520","0.0-2.0-0.3","fixation","","","","",""
"767","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","9","14287","0.0-2.0-1.3","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","14550","0.0-2.0-0.4","fixation","","","","",""
"1445","
                    <p style=""color:red"">
                    green</p>","r","html-keyboard-response","11","15996","0.0-2.0-1.4","response","red","green","incongruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","17004","0.0-2.0-0.5","fixation","","","","",""
"812","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","13","17816","0.0-2.0-1.5","response","yellow","yellow","congruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","18822","0.0-2.0-0.6","fixation","","","","",""
"3110","
                    <p style=""color:blue"">
                    yellow</p>","b","html-keyboard-response","15","21933","0.0-2.0-1.6","response","blue","yellow","incongruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","22198","0.0-2.0-0.7","fixation","","","","",""
"1628","
                    <p style=""color:green"">
                    red</p>","g","html-keyboard-response","17","23827","0.0-2.0-1.7","response","green","red","incongruent","g","true"
"1000","<p>You responded correctly on 100% of the trials.</p>
                <p>Your average response time was 1478ms.</p>
                <p>Press any key to complete the experiment</p>
                <p>and csv file of your experiment</p>
                <p>data will automatically get downloaded. Thank you!!</p>"," ","html-keyboard-response","18","24828","0.0-3.0","","","","","",""
